Counties,DOSAGE_UNIT
ACCOMACK,802000.0
ALBEMARLE,2400430.0
ALEXANDRIA CITY,1891010.0
ALLEGHANY,612500.0
AMELIA,231320.0
AMHERST,995000.0
APPOMATTOX,1025820.0
ARLINGTON,2084590.0
AUGUSTA,1255860.0
BATH,143030.0
BEDFORD,1468560.0
BLAND,286640.0
BOTETOURT,746390.0
BRISTOL CITY,1686870.0
BRUNSWICK,151200.0
BUCHANAN,1944120.0
BUCKINGHAM,567240.0
BUENA VISTA CITY,262080.0
CAMPBELL,1022080.0
CAROLINE,329520.0
CARROLL,601340.0
CHARLOTTE,322000.0
CHARLOTTESVILLE CITY,1690690.0
CHESAPEAKE CITY,6149280.0
CHESTERFIELD,9826730.0
CLARKE,181540.0
COLONIAL HEIGHTS CITY,1524140.0
COVINGTON CITY,587860.0
CRAIG,201930.0
CULPEPER,1248780.0
CUMBERLAND,110500.0
DANVILLE CITY,3145800.0
DICKENSON,2280620.0
DINWIDDIE,139860.0
EMPORIA CITY,663040.0
ESSEX,476530.0
FAIRFAX,14442280.0
FAIRFAX CITY,595820.0
FALLS CHURCH CITY,444940.0
FAUQUIER,1865840.0
FLOYD,417260.0
FLUVANNA,560060.0
FRANKLIN,2363730.0
FRANKLIN CITY,653870.0
FREDERICK,1851320.0
FREDERICKSBURG CITY,1987650.0
GALAX CITY,1179500.0
GILES,1126340.0
GLOUCESTER,1616610.0
GOOCHLAND,197640.0
GRAYSON,195700.0
GREENE,663840.0
HALIFAX,1213730.0
HAMPTON CITY,4262690.0
HANOVER,4738360.0
HARRISONBURG CITY,3195500.0
HENRICO,10513810.0
HENRY,2437610.0
HOPEWELL CITY,1901750.0
ISLE OF WIGHT,872940.0
JAMES CITY,2403230.0
KING GEORGE,466060.0
KING WILLIAM,499260.0
LANCASTER,778430.0
LEE,2401500.0
LEXINGTON CITY,806520.0
LOUDOUN,5059970.0
LOUISA,713920.0
LUNENBURG,234060.0
LYNCHBURG CITY,4700210.0
MADISON,143600.0
MANASSAS CITY,1488710.0
MARTINSVILLE CITY,3148040.0
MATHEWS,167300.0
MECKLENBURG,1415680.0
MIDDLESEX,233720.0
MONTGOMERY,3119170.0
NELSON,528950.0
NEW KENT,433080.0
NEWPORT NEWS CITY,4743560.0
NORFOLK CITY,5595850.0
NORTHAMPTON,598660.0
NORTHUMBERLAND,202530.0
NORTON CITY,1374040.0
NOTTOWAY,451660.0
ORANGE,1299850.0
PAGE,977980.0
PATRICK,848820.0
PETERSBURG CITY,1940450.0
PITTSYLVANIA,656640.0
POQUOSON CITY,439560.0
PORTSMOUTH CITY,4857610.0
POWHATAN,494860.0
PRINCE EDWARD,780640.0
PRINCE WILLIAM,7137500.0
PULASKI,2637610.0
RADFORD,793980.0
RAPPAHANNOCK,27500.0
RICHMOND,95900.0
RICHMOND CITY,4758350.0
ROANOKE,4384090.0
ROANOKE CITY,5600200.0
ROCKBRIDGE,9100.0
ROCKINGHAM,1328760.0
RUSSELL,1695020.0
SALEM,2518360.0
SCOTT,2389550.0
SHENANDOAH,1195020.0
SMYTH,2190350.0
SOUTHAMPTON,12700.0
SPOTSYLVANIA,3484230.0
STAFFORD,2630260.0
STAUNTON CITY,1960090.0
SUFFOLK CITY,2748650.0
SUSSEX,138280.0
TAZEWELL,4484820.0
VIRGINIA BEACH CITY,9890060.0
WARREN,1621450.0
WASHINGTON,4737630.0
WAYNESBORO CITY,2108200.0
WESTMORELAND,271460.0
WINCHESTER CITY,1872140.0
WISE,4954510.0
WYTHE,1866770.0
YORK,1117260.0
